time,angle,gyro
4.06,-0.00364505121377404,-0.230415217322724
4.07,-0.00600779594796552,-0.241579291010248
4.075,-0.00722737365315394,-0.246175349265329
4.08,-0.00846894649528515,-0.250408255203917
4.09,-0.0110132867172537,-0.258416972945331
4.1,-0.0136378240880938,-0.266575337261717
4.11,-0.0163473756500897,-0.275500738207836
4.12,-0.0191517106471736,-0.285582756123316
4.125,-0.0205933600961146,-0.291137421343254
4.13,-0.0220637045907712,-0.297063768513385
4.14,-0.0250981468903864,-0.310091020087469
4.15,-0.0282709694124434,-0.324750268630103
4.16,-0.0315987482639146,-0.341087455326895
4.17,-0.0350983805206288,-0.359122680662641
4.175,-0.0369179564340386,-0.36877855749994
4.18,-0.0387868740600681,-0.378859194592876
4.19,-0.0426812100990981,-0.400289172254284
4.19294588403569,-0.0438701511685871,-0.406923043444578
4.19294588403575,-0.0438701511686102,-0.406923043444707
4.2,-0.0467982522883484,-0.423397423509043
4.20705411596425,-0.0498454805087418,-0.440696949391528
4.21,-0.0511546858990049,-0.44816376416663
4.22,-0.0557669759610538,-0.474564539073955
4.225,-0.0581741448396778,-0.488369743931303
4.23,-0.0606513378075745,-0.502573589685142
4.24,-0.065823715359881,-0.532162872505332
4.25,-0.0712997643856299,-0.563302852393227
4.26,-0.0770948389263897,-0.595962751793998
4.27,-0.0832239797221211,-0.630110708599276
4.275,-0.0864184369735186,-0.647732480402145
4.28,-0.0897019039018555,-0.665713875762117
4.29,-0.0965429954721559,-0.702738483978139
4.3,-0.103761296306132,-0.74114988101605
4.31,-0.111370497446865,-0.78091255628215
4.32,-0.119383930606259,-0.82199015611683
4.325,-0.123546300034476,-0.843010464116078
4.33,-0.127814559785543,-0.864345493269516
4.34,-0.136674972970925,-0.907940552737887
4.34999999999994,-0.145977373875363,-0.952736495344395
4.35,-0.145977373875417,-0.952736495344653
4.36,-0.155504738828864,-0.952736495344653
4.37,-0.16503210378231,-0.952736495344653
4.375,-0.169795786259033,-0.952736495344653
4.38,-0.174559468735756,-0.952736495344653
4.39,-0.184086833689203,-0.952736495344653
4.4,-0.19361419864265,-0.952736495344653
4.41,-0.203141563596096,-0.952736495344653
4.42,-0.212668928549542,-0.952736495344653
4.425,-0.217432611026266,-0.952736495344653
4.43,-0.222196293502989,-0.952736495344653
4.44,-0.231723658456436,-0.952736495344653
4.45,-0.241251023409882,-0.952736495344653
4.46,-0.250778388363329,-0.952736495344653
4.47,-0.260305753316775,-0.952736495344653
4.475,-0.265069435793499,-0.952736495344653
4.48,-0.269833118270222,-0.952736495344653
